 Coordinates: 1, -1, 4 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 1, -1, 3 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 1, -1, 2 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 1, -1, 1 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 1, -1, 0 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 8, 0, -8 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 8, 0, -7 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 8, 0, -6 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 8, 0, -5 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 1, -1, 8 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 1, -1, 7 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 1, -1, 6 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 1, -1, 5 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -2, 0, 8 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -6, 2, -8 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -6, 7, 8 | Type: BARRIER, Rotation: NONE
 Coordinates: -2, -1, 0 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 2, 2, 8 | Type: BARRIER, Rotation: NONE
 Coordinates: -2, -1, 1 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -2, -1, 2 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -2, -1, 3 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -2, -1, 4 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -2, -1, 5 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -2, -1, 6 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -2, -1, 7 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -2, -1, 8 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 5, 2, -8 | Type: SMOOTH_QUARTZ_SLAB, Rotation: NONE_BOTTOM
 Coordinates: 4, 7, -8 | Type: BARRIER, Rotation: NONE
 Coordinates: -1, 0, -8 | Type: SMOOTH_QUARTZ_SLAB, Rotation: NONE_BOTTOM
 Coordinates: 0, 0, -8 | Type: BARRIER, Rotation: NONE
 Coordinates: 8, 0, -4 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 8, 0, -3 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 8, 0, -2 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: 8, 0, -1 | Type: SMOOTH_QUARTZ_SLAB, Rotation: NONE_BOTTOM
 Coordinates: 5, 5, 8 | Type: BARRIER, Rotation: NONE
 Coordinates: -5, 8, -5 | Type: BARRIER, Rotation: NONE
 Coordinates: 7, 5, -8 | Type: BARRIER, Rotation: NONE
 Coordinates: -5, 8, -6 | Type: BARRIER, Rotation: NONE
 Coordinates: -5, 8, -7 | Type: BARRIER, Rotation: NONE
 Coordinates: -5, 8, -8 | Type: BARRIER, Rotation: NONE
 Coordinates: -7, 0, 8 | Type: SMOOTH_QUARTZ, Rotation: NONE
 Coordinates: -5, 8, -1 | Type: BARRIER, Rotation: NONE
 Coordinates: -5, 8, -2 | Type: BARRIER, Rotation: NONE
 Coordinates: -3, 4, 8 | Type: BARRIER, Rotation: NONE
